layer,expert,loss_fn,beta_global,num_score_tokens,gradient_signed,gradient_abs,gradient_at_global_zero,ratio_to_global_zero_pct,ratio_valid,first_order_signed,first_order_abs
0,113,l2,0.0,4096,-1.5473989378733677e-07,1.5473989378733677e-07,-1.5473989378733677e-07,100.0,True,0.0,0.0
0,114,l2,0.0,4096,-3.3890717077156296e-06,3.3890717077156296e-06,-3.3890717077156296e-06,100.0,True,0.0,0.0
0,115,l2,0.0,4096,-3.2133305012393976e-06,3.2133305012393976e-06,-3.2133305012393976e-06,100.0,True,0.0,0.0
0,116,l2,0.0,4096,-4.402306359452268e-07,4.402306359452268e-07,-4.402306359452268e-07,100.0,True,0.0,0.0
0,117,l2,0.0,4096,-1.8884777830407984e-07,1.8884777830407984e-07,-1.8884777830407984e-07,100.0,True,0.0,0.0
0,118,l2,0.0,4096,-1.765522554819654e-07,1.765522554819654e-07,-1.765522554819654e-07,100.0,True,0.0,0.0
0,119,l2,0.0,4096,-3.3293659384980856e-07,3.3293659384980856e-07,-3.3293659384980856e-07,100.0,True,0.0,0.0
0,120,l2,0.0,4096,-1.6028689060476609e-06,1.6028689060476609e-06,-1.6028689060476609e-06,100.0,True,0.0,0.0
0,121,l2,0.0,4096,-6.334112967465444e-08,6.334112967465444e-08,-6.334112967465444e-08,100.0,True,0.0,0.0
0,122,l2,0.0,4096,-3.7157110455154907e-07,3.7157110455154907e-07,-3.7157110455154907e-07,100.0,True,0.0,0.0
0,123,l2,0.0,4096,-1.6212755582500904e-07,1.6212755582500904e-07,-1.6212755582500904e-07,100.0,True,0.0,0.0
0,124,l2,0.0,4096,-1.0642749543876562e-06,1.0642749543876562e-06,-1.0642749543876562e-06,100.0,True,0.0,0.0
0,125,l2,0.0,4096,-2.528540790081024e-06,2.528540790081024e-06,-2.528540790081024e-06,100.0,True,0.0,0.0
0,126,l2,0.0,4096,-1.2084155969205312e-06,1.2084155969205312e-06,-1.2084155969205312e-06,100.0,True,0.0,0.0
0,127,l2,0.0,4096,-4.3660473636464303e-07,4.3660473636464303e-07,-4.3660473636464303e-07,100.0,True,0.0,0.0
0,0,l2,0.25,4096,-1.4177096829826041e-07,1.4177096829826041e-07,-1.8902795773101388e-07,75.0,True,3.5442742074565103e-08,3.5442742074565103e-08
0,1,l2,0.25,4096,-1.1167770992415171e-06,1.1167770992415171e-06,-1.4890361512698291e-06,74.999999045634,True,2.791942748103793e-07,2.791942748103793e-07
0,2,l2,0.25,4096,-7.951721272547729e-07,7.951721272547729e-07,-1.0602295219541702e-06,74.99999865964355,True,1.9879303181369323e-07,1.9879303181369323e-07
0,3,l2,0.25,4096,-4.411853069541394e-07,4.411853069541394e-07,-5.882471043605619e-07,74.99999637630481,True,1.1029632673853484e-07,1.1029632673853484e-07
0,4,l2,0.25,4096,-3.2601150223854347e-07,3.2601150223854347e-07,-4.346820219325309e-07,74.99999673074707,True,8.150287555963587e-08,8.150287555963587e-08
0,5,l2,0.25,4096,-2.0307385284468182e-07,2.0307385284468182e-07,-2.70765141863194e-07,74.99999868789843,True,5.0768463211170456e-08,5.0768463211170456e-08
0,6,l2,0.25,4096,-1.210839677412423e-07,1.210839677412423e-07,-1.614452926901322e-07,74.99999889971593,True,3.0270991935310576e-08,3.0270991935310576e-08
0,7,l2,0.25,4096,-6.20559859498826e-07,6.20559859498826e-07,-8.274132028418535e-07,74.99999484748805,True,1.551399648747065e-07,1.551399648747065e-07
0,8,l2,0.25,4096,-4.675979710100364e-07,4.675979710100364e-07,-6.234639329250058e-07,75.00000341900805,True,1.168994927525091e-07,1.168994927525091e-07
0,9,l2,0.25,4096,-3.377414614647023e-08,3.377414614647023e-08,-4.503219308560347e-08,75.00000295847823,True,8.443536536617557e-09,8.443536536617557e-09
0,10,l2,0.25,4096,-1.7147612396684053e-07,1.7147612396684053e-07,-2.2863483195578738e-07,75.0,True,4.286903099171013e-08,4.286903099171013e-08
0,11,l2,0.25,4096,-1.1445983361113576e-07,1.1445983361113576e-07,-1.5261311148151435e-07,75.0,True,2.861495840278394e-08,2.861495840278394e-08
0,12,l2,0.25,4096,-2.706358799287045e-07,2.706358799287045e-07,-3.608478493788425e-07,74.99999803090766,True,6.765896998217613e-08,6.765896998217613e-08
0,13,l2,0.25,4096,-9.378547076721588e-07,9.378547076721588e-07,-1.2504727919804282e-06,75.0000090915083,True,2.344636769180397e-07,2.344636769180397e-07
0,14,l2,0.25,4096,-4.3510299008175934e-07,4.3510299008175934e-07,-5.801373390568187e-07,74.99999755043267,True,1.0877574752043984e-07,1.0877574752043984e-07
0,15,l2,0.25,4096,-5.303707339976427e-08,5.303707339976427e-08,-7.071610141906604e-08,74.99999623206709,True,1.3259268349941067e-08,1.3259268349941067e-08
0,16,l2,0.25,4096,-2.6185721253568772e-06,2.6185721253568772e-06,-3.491429424684611e-06,75.00000162808443,True,6.546430313392193e-07,6.546430313392193e-07
0,17,l2,0.25,4096,-5.889356486932229e-07,5.889356486932229e-07,-7.852475221170607e-07,75.00000090486466,True,1.4723391217330573e-07,1.4723391217330573e-07
0,18,l2,0.25,4096,-2.0191627214671826e-07,2.0191627214671826e-07,-2.692216725108665e-07,75.00000659811977,True,5.0479068036679564e-08,5.0479068036679564e-08
