layer,expert,loss_fn,beta_work,num_score_tokens,reference_active_batch_count,base_loss_at_identity,base_loss_at_work,gradient_at_identity,gradient_at_work,first_order_signed,first_order_abs,hessian_half_at_identity,reference_removal_at_identity,true_removal_at_identity,removal_loss_at_identity,true_removal_delta_at_work,removal_loss_at_work
0,31,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-2.636037642705631e-23,-1.3595233383512095e-08,1.291547171433649e-08,1.291547171433649e-08,8.281495667006311e-08,8.343676682898149e-08,8.285786975798525e-08,8.285786975890645e-08,8.772077926949654e-08,1.328757019160454e-07
0,32,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-1.940834564001346e-23,-7.045874328426294e-09,6.693580612004979e-09,6.693580612004979e-09,3.889088873165747e-08,3.81476112920609e-08,3.889107321269704e-08,3.889107321361824e-08,4.179419918751699e-08,8.694912183406586e-08
0,33,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-2.492577433743273e-22,-2.008062693903412e-08,1.9076595592082412e-08,1.9076595592082412e-08,1.2759559808728227e-07,1.2866912868503277e-07,1.2760294037135902e-07,1.2760294037228022e-07,1.3424127471622788e-07,1.7939619736277675e-07
0,34,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-3.1147194655129177e-24,-2.755516081975884e-08,2.6177402778770895e-08,2.6177402778770895e-08,1.6115104983782658e-07,1.6141473224706715e-07,1.612696370968909e-07,1.612696370978121e-07,1.7176173267406827e-07,2.1691665532061714e-07
0,35,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,1.9119186939710705e-22,-5.599724062221867e-08,5.319737859110773e-08,5.319737859110773e-08,3.8223680576265906e-07,3.845322567030962e-07,3.8423935742571876e-07,3.8423935742663996e-07,4.004712074735853e-07,4.456261301201342e-07
0,36,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,8.149228184911605e-24,-2.112059249714804e-09,2.0064562872290636e-09,2.0064562872290636e-09,1.3250916808260627e-08,1.3100635243290526e-08,1.3250119085901679e-08,1.3250119086822882e-08,1.3964337667388469e-08,5.9119260313937335e-08
0,37,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-1.0208039184985378e-22,-1.0953098872334976e-08,1.0405443928718227e-08,1.0405443928718227e-08,7.758733744367419e-08,7.785384781300309e-08,7.758321146589115e-08,7.758321146681235e-08,8.042246707336531e-08,1.2557738971991418e-07
0,38,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-3.684944218193079e-23,-3.939322978929738e-09,3.742356829983251e-09,3.742356829983251e-09,2.4920964847297e-08,2.503659146668724e-08,2.4921564492323775e-08,2.4921564493244977e-08,2.6234309329108227e-08,7.138923197565709e-08
0,39,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,8.286661954097399e-23,-6.188455525801828e-09,5.8790327495117365e-09,5.8790327495117365e-09,4.426136257507096e-08,4.412304477341422e-08,4.426343179463155e-08,4.426343179555275e-08,4.582718313341561e-08,9.098210577996448e-08
0,40,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-3.70661347784164e-23,-1.0548226292428353e-08,1.0020814977806936e-08,1.0020814977806936e-08,8.227036119023978e-08,8.25124004677491e-08,8.224532038438185e-08,8.224532038530305e-08,8.424077426993756e-08,1.2939569691648643e-07
0,41,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,1.3136982696179653e-23,-5.238624201098219e-09,4.976692991043308e-09,4.976692991043308e-09,2.5885404042469418e-08,2.4996767322704727e-08,2.5885927878612967e-08,2.5885927879534168e-08,2.8339318684495026e-08,7.34942413310439e-08
0,42,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,3.739870906972672e-23,-6.7673739945206535e-09,6.42900529479462e-09,6.42900529479462e-09,5.2756888635485666e-08,5.4066493504478785e-08,5.275661659685142e-08,5.275661659777262e-08,5.4041709163999904e-08,9.919663181054877e-08
0,43,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-1.9819578041044267e-24,-3.2774001290647448e-09,3.1135301226115074e-09,3.1135301226115074e-09,1.3306790336287122e-08,1.2676841798509031e-08,1.3308153352114076e-08,1.3308153353035279e-08,1.512712120973768e-08,6.028204385628655e-08
0,44,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-2.450092477722818e-23,-7.2056924871333194e-09,6.845407862776653e-09,6.845407862776653e-09,4.539142040016486e-08,4.5934879011610974e-08,4.539078312846886e-08,4.539078312939006e-08,4.781239399166504e-08,9.296731663821391e-08
0,45,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,2.9556740629676886e-23,-9.083897190009793e-09,8.629702330509302e-09,8.629702330509302e-09,5.21381764428952e-08,5.1564690295435867e-08,5.214470753305639e-08,5.2144707533977594e-08,5.56938421948575e-08,1.0084876484140637e-07
0,46,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,4.28020970370158e-23,-5.91582849374106e-09,5.620037069054006e-09,5.620037069054006e-09,4.5386340019604177e-08,4.52287061136758e-08,4.5385162035830736e-08,4.538516203675194e-08,4.657963557037699e-08,9.173455821692586e-08
0,47,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,2.8516750588444197e-23,-3.582399932255953e-09,3.4032799356431553e-09,3.4032799356431553e-09,3.086938349383672e-08,3.178602270281772e-08,3.086969252435416e-08,3.086969252527536e-08,3.126338099326671e-08,7.641830363981558e-08
0,48,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-2.2610477204712106e-23,-2.412197774859237e-09,2.291587886116275e-09,2.291587886116275e-09,1.7798102547317285e-08,1.7691334619485133e-08,1.7797884492162883e-08,1.7797884493084085e-08,1.8354416547652895e-08,6.350933919420176e-08
0,49,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-3.1994464399494563e-23,-7.3813617440521284e-09,7.0122936568495215e-09,7.0122936568495215e-09,4.5020705385923065e-08,4.612770965195523e-08,4.501271243377797e-08,4.501271243469917e-08,4.7633887363185283e-08,9.278881000973415e-08
0,50,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,6.996838086459404e-24,-1.6164721117206682e-08,1.5356485061346346e-08,1.5356485061346346e-08,7.090638831641627e-08,7.072530650020781e-08,7.102180668059992e-08,7.102180668152112e-08,7.95359896242535e-08,1.2469091227080238e-07
0,51,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-4.613112634465011e-23,-6.591769130537273e-09,6.2621806740104085e-09,6.2621806740104085e-09,5.743674336144977e-08,5.8099352884255495e-08,5.7434612864860814e-08,5.7434612865782015e-08,5.809654753498543e-08,1.032514701815343e-07
0,52,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,2.3395572876832498e-23,-5.727115892639745e-09,5.440760098007757e-09,5.440760098007757e-09,4.791996133235443e-08,4.732202540935759e-08,4.7919858990302697e-08,4.79198589912239e-08,4.868830087950636e-08,9.384322352605523e-08
0,53,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-1.9037726164966144e-24,-1.0170709607848494e-08,9.662174127456068e-09,9.662174127456068e-09,4.528903829736919e-08,4.5765609968384524e-08,4.529262818169316e-08,4.529262818261436e-08,5.054443488382755e-08,9.569935753037642e-08
0,54,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,1.1390299501613772e-23,-4.177946433259194e-09,3.969049111596234e-09,3.969049111596234e-09,2.6000208208643016e-08,2.5648283497048396e-08,2.5997329282124308e-08,2.599732928304551e-08,2.743015047314976e-08,7.258507311969863e-08
0,55,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-1.3381946095356123e-23,-5.242934530969023e-09,4.980787804420572e-09,4.980787804420572e-09,3.929544334368984e-08,4.076318305124005e-08,3.9295526583758535e-08,3.9295526584679736e-08,4.0444587070396485e-08,8.559950971694535e-08
0,56,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-4.1002607493454426e-23,-9.263295908112923e-09,8.800131112707276e-09,8.800131112707276e-09,6.611438152503979e-08,6.717222333918471e-08,6.610402179973573e-08,6.610402180065693e-08,6.845527282082876e-08,1.1361019546737763e-07
0,57,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-7.86492389796131e-24,-2.4028961931321646e-08,2.2827513834755563e-08,2.2827513834755563e-08,1.0467472577602166e-07,1.0329316069146444e-07,1.0492276568045554e-07,1.0492276568137674e-07,1.1767624789734773e-07,1.628311705438966e-07
0,58,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-6.021682945305019e-24,-5.408465675316165e-09,5.138042391550357e-09,5.138042391550357e-09,3.6410312986845383e-08,3.71928976505842e-08,3.640890247775986e-08,3.640890247868106e-08,3.799668939639631e-08,8.315161204294518e-08
0,59,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,2.3006186400849975e-23,-7.3832482350155715e-09,7.014085823264792e-09,7.014085823264792e-09,4.509104201133596e-08,4.401547215593382e-08,4.5095536694725035e-08,4.5095536695646236e-08,4.7716817606569466e-08,9.287174025311834e-08
0,60,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-1.8165649111714273e-23,-2.9663905110055566e-08,2.8180709854552786e-08,2.8180709854552786e-08,1.9184838606634003e-07,1.8978465732288896e-07,1.9184503835917952e-07,1.9184503836010072e-07,2.0133441287941092e-07,2.4648933552595976e-07
0,61,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-2.5351842214419308e-23,-1.2942913851787807e-08,1.2295768159198417e-08,1.2295768159198417e-08,6.004147223848122e-08,6.14280395438982e-08,6.004634727754968e-08,6.004634727847088e-08,6.649668177219856e-08,1.1165160441874743e-07
0,62,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-7.862051734291491e-23,-1.4624266242435624e-08,1.3893052930313843e-08,1.3893052930313843e-08,8.832030573557859e-08,8.806506457403884e-08,8.831674016387329e-08,8.831674016479449e-08,9.361192267055566e-08,1.3876684531710453e-07
0,63,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,5.0625874344591236e-24,-2.9485130781381486e-08,2.801087424231241e-08,2.801087424231241e-08,1.5976854683685815e-07,1.5860109670029487e-07,1.598408723434112e-07,1.598408723443324e-07,1.723037247434534e-07,2.1745864739000227e-07
0,64,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,5.2580504429216996e-23,-3.163209072454265e-08,3.005048618831552e-08,3.005048618831552e-08,1.7838425492300303e-07,1.7846822686351516e-07,1.784940156586585e-07,1.784940156595797e-07,1.911834917750087e-07,2.3633841442155758e-07
0,65,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-1.2493631918092088e-22,-2.0781441456563243e-08,1.974236938373508e-08,1.974236938373508e-08,1.3265648135529773e-07,1.3309312407727703e-07,1.3287731754290939e-07,1.3287731754383059e-07,1.3973708707658816e-07,1.8489200972313703e-07
