baseline,expert_high,expert_low,truth_high,truth_low,truth_gap,first_high,first_low,hessian_high,hessian_low,hessian_relative_error_high,hessian_relative_error_low
first_order_abs,75,57,1.3793495141328e-07,1.0492276568045554e-07,3.3012185732824465e-08,2.249351442884517e-08,2.2827513834755563e-08,1.3790193520435423e-07,1.0467472577602166e-07,0.00023936071740694417,0.0023640236971001296
first_order_signed,75,57,1.3793495141328e-07,1.0492276568045554e-07,3.3012185732824465e-08,2.249351442884517e-08,2.2827513834755563e-08,1.3790193520435423e-07,1.0467472577602166e-07,0.00023936071740694417,0.0023640236971001296
first_order_abs,89,53,7.762380133093168e-08,4.529262818169316e-08,3.233117314923852e-08,7.940589452637424e-09,9.662174127456068e-09,7.762312037584707e-08,4.528903829736919e-08,8.772503703012861e-06,7.92597927762417e-05
first_order_signed,89,53,7.762380133093168e-08,4.529262818169316e-08,3.233117314923852e-08,7.940589452637424e-09,9.662174127456068e-09,7.762312037584707e-08,4.528903829736919e-08,8.772503703012861e-06,7.92597927762417e-05
first_order_abs,89,26,7.762380133093168e-08,4.581858096179697e-08,3.180522036913471e-08,7.940589452637424e-09,8.090811853822544e-09,7.762312037584707e-08,4.5822922345450934e-08,8.772503703012861e-06,9.475159559354661e-05
first_order_signed,89,26,7.762380133093168e-08,4.581858096179697e-08,3.180522036913471e-08,7.940589452637424e-09,8.090811853822544e-09,7.762312037584707e-08,4.5822922345450934e-08,8.772503703012861e-06,9.475159559354661e-05
first_order_abs,101,53,7.64486784895922e-08,4.529262818169316e-08,3.115605030789904e-08,9.079268414868836e-09,9.662174127456068e-09,7.645348887308501e-08,4.528903829736919e-08,6.29230431166083e-05,7.92597927762417e-05
first_order_signed,101,53,7.64486784895922e-08,4.529262818169316e-08,3.115605030789904e-08,9.079268414868836e-09,9.662174127456068e-09,7.645348887308501e-08,4.528903829736919e-08,6.29230431166083e-05,7.92597927762417e-05
first_order_abs,75,98,1.3793495141328e-07,1.0692258987152722e-07,3.101236154175278e-08,2.249351442884517e-08,2.6404627373466383e-08,1.3790193520435423e-07,1.0676933470676886e-07,0.00023936071740694417,0.0014333282138274752
first_order_signed,75,98,1.3793495141328e-07,1.0692258987152722e-07,3.101236154175278e-08,2.249351442884517e-08,2.6404627373466383e-08,1.3790193520435423e-07,1.0676933470676886e-07,0.00023936071740694417,0.0014333282138274752
