baseline,expert_high,expert_low,truth_high,truth_low,truth_gap,first_high,first_low,hessian_high,hessian_low,hessian_relative_error_high,hessian_relative_error_low,truth_increase_percent,first_decrease_percent,balanced_display_score,both_differences_at_least_20_percent,both_full_curves_available
first_order_abs,40,61,8.224532038438185e-08,6.004634727754968e-08,2.219897310683217e-08,1.0020814977806936e-08,1.2295768159198417e-08,8.227036119023978e-08,6.004147223848122e-08,0.0003044648101667692,8.11879371433461e-05,36.96973107160508,18.501919944624177,0.1850191994462418,False,False
first_order_abs,117,103,3.619141416768773e-08,3.054582773673119e-08,5.645586430956543e-09,4.061369518471025e-09,5.6440286000380974e-09,3.6191455166090236e-08,3.0536554618265654e-08,1.1328212353256537e-06,0.0003035805264619527,18.48234881573616,28.041301590080337,0.1848234881573616,False,False
first_order_abs,111,61,8.728085554749227e-08,6.004634727754968e-08,2.723450826994259e-08,1.0025267971336405e-08,1.2295768159198417e-08,8.728105171940115e-08,6.004147223848122e-08,2.247593789604378e-06,8.11879371433461e-05,45.35581180993022,18.465704285123973,0.18465704285123974,False,False
first_order_abs,116,61,7.10998220131772e-08,6.004634727754968e-08,1.105347473562752e-08,8.909839710469213e-09,1.2295768159198417e-08,7.109583322062463e-08,6.004147223848122e-08,5.610130151704737e-05,8.11879371433461e-05,18.40823836383505,27.537347849196415,0.1840823836383505,False,False
first_order_abs,105,53,5.362963345726791e-08,4.529262818169316e-08,8.337005275574747e-09,7.433987292415622e-09,9.662174127456068e-09,5.362650412621406e-08,4.528903829736919e-08,5.8350782060491286e-05,7.92597927762417e-05,18.406980584413258,23.06092609849395,0.18406980584413257,False,False
first_order_abs,117,41,3.619141416768773e-08,2.5885927878612967e-08,1.0305486289074764e-08,4.061369518471025e-09,4.976692991043308e-09,3.6191455166090236e-08,2.5885404042469418e-08,1.1328212353256537e-06,2.0236328634061015e-05,39.8111527521839,18.392202898985644,0.18392202898985643,False,False
first_order_abs,85,83,8.524151710702273e-08,6.973023412726003e-08,1.5511282979762695e-08,9.493916364178289e-09,1.1616830297711543e-08,8.523826977580029e-08,6.966891419324384e-08,3.809565259570081e-05,0.0008793880414095233,22.24470227857558,18.274467984192366,0.18274467984192366,False,False
first_order_abs,18,77,5.55925818781157e-08,4.702571686254087e-08,8.566865015574825e-09,6.206722658053109e-09,8.094830517002548e-09,5.5604544968446135e-08,4.7028592575770745e-08,0.00021519220597931667,6.115192753527157e-05,18.217404405798444,23.324859674129293,0.18217404405798443,False,False
first_order_abs,108,83,8.226436222415004e-08,6.973023412726003e-08,1.2534128096890007e-08,9.022701896732599e-09,1.1616830297711543e-08,8.233610060415231e-08,6.966891419324384e-08,0.0008720468750100524,0.0008793880414095233,17.975169958578952,22.330776420913846,0.17975169958578952,False,False
first_order_abs,86,53,6.134473596044345e-08,4.529262818169316e-08,1.6052107778750288e-08,7.929969769726597e-09,9.662174127456068e-09,6.133922170192818e-08,4.528903829736919e-08,8.988967723037618e-05,7.92597927762417e-05,35.44088392123466,17.927687235600875,0.17927687235600875,False,False
first_order_abs,89,53,7.762380133093168e-08,4.529262818169316e-08,3.233117314923852e-08,7.940589452637424e-09,9.662174127456068e-09,7.762312037584707e-08,4.528903829736919e-08,8.772503703012861e-06,7.92597927762417e-05,71.38285952305692,17.817777366758303,0.17817777366758303,False,False
first_order_abs,19,126,1.854147713277629e-07,1.575821954278224e-07,2.7832575899940506e-08,2.1798215454893466e-08,2.668303333841493e-08,1.8540910673436883e-07,1.5761642657707853e-07,3.0550928351109904e-05,0.0002172272645598948,17.662259257384626,18.306831242042144,0.17662259257384627,False,False
first_order_abs,13,63,1.8799617258767294e-07,1.598408723434112e-07,2.815530024426173e-08,2.273276020758885e-08,2.801087424231241e-08,1.8807284618560516e-07,1.5976854683685815e-07,0.0004078465900493794,0.0004524844333786793,17.614581196586123,18.843089255495617,0.1761458119658612,False,False
first_order_abs,8,61,7.907671690233087e-08,6.004634727754968e-08,1.9030369624781197e-08,1.0133829464464839e-08,1.2295768159198417e-08,7.908275279078225e-08,6.004147223848122e-08,7.63295276766804e-05,8.11879371433461e-05,31.692801456877852,17.58278675022219,0.1758278675022219,False,False
first_order_abs,3,50,8.571599272853237e-08,7.102180668059992e-08,1.4694186047932455e-08,1.2657010772798571e-08,1.5356485061346346e-08,8.572295229214433e-08,7.090638831641627e-08,8.119329182825081e-05,0.0016251116323006036,20.68968213384843,17.578725064777966,0.17578725064777967,False,False
first_order_abs,19,98,1.854147713277629e-07,1.0692258987152722e-07,7.849218145623568e-08,2.1798215454893466e-08,2.6404627373466383e-08,1.8540910673436883e-07,1.0676933470676886e-07,3.0550928351109904e-05,0.0014333282138274752,73.41028827542235,17.44547216448066,0.17445472164480658,False,True
first_order_abs,79,28,1.2302294417981364e-07,1.0282117197151253e-07,2.0201772208301116e-08,1.5317005086501465e-08,1.8532727930065106e-08,1.2302251661822083e-07,1.0281124929178986e-07,3.475462204720315e-06,9.650424647380948e-05,19.647482926860803,17.351589338053508,0.17351589338053508,False,False
first_order_abs,79,57,1.2302294417981364e-07,1.0492276568045554e-07,1.8100178499358103e-08,1.5317005086501465e-08,2.2827513834755563e-08,1.2302251661822083e-07,1.0467472577602166e-07,3.475462204720315e-06,0.0023640236971001296,17.250954434886488,32.90112450537267,0.1725095443488649,False,False
first_order_abs,119,53,5.29832233549539e-08,4.529262818169316e-08,7.69059517326074e-09,6.99365774181615e-09,9.662174127456068e-09,5.2978631259748e-08,4.528903829736919e-08,8.667074056892138e-05,7.92597927762417e-05,16.979794465469332,27.61817734227179,0.16979794465469333,False,False
first_order_abs,112,17,9.327017850629176e-08,7.989469686865492e-08,1.3375481637636844e-08,1.151465867099688e-08,1.3927396036450544e-08,9.327463601493946e-08,7.987748062987521e-08,4.779135967236615e-05,0.00021548662745427764,16.7413885550199,17.323678878227412,0.16741388555019898,False,False
first_order_abs,8,100,7.907671690233087e-08,6.780699859506189e-08,1.1269718307268987e-08,1.0133829464464839e-08,1.2649099589978618e-08,7.908275279078225e-08,6.780321371024911e-08,7.63295276766804e-05,5.5818497960348926e-05,16.62028778853768,19.88497369019474,0.1662028778853768,False,False
first_order_abs,7,98,1.2456171764452725e-07,1.0692258987152722e-07,1.7639127773000032e-08,1.7722442580136998e-08,2.6404627373466383e-08,1.2450220765458653e-07,1.0676933470676886e-07,0.000477755052403469,0.0014333282138274752,16.497101121656634,32.88130019988081,0.16497101121656632,False,False
