layer,expert,selection_group,background_beta,beta,measured_loss,measured_delta_loss,local_gradient_at_beta
0,19,counterexample,1.0,1.05,4.635208611762745e-10,4.6352086025507166e-10,1.8540844415326774e-08
0,19,counterexample,1.0,1.25,1.1587979945228753e-08,1.1587979944307548e-08,9.270349821122181e-08
0,19,counterexample,1.0,1.5,4.635157707671496e-08,4.635157707579376e-08,1.8540490032137313e-07
0,19,counterexample,0.95,0.0,2.342898612179361e-07,1.8913493857138727e-07,-3.752384714061918e-07
0,19,counterexample,0.95,0.25,1.5206925856518484e-07,1.0691433591863598e-07,-2.825268126116498e-07
0,19,counterexample,0.95,0.5,9.302629468180121e-08,4.787137203525235e-08,-1.8981729255074242e-07
0,19,counterexample,0.95,0.75,5.7160435000609434e-08,1.2005512354060568e-08,-9.710987924904657e-08
0,19,counterexample,0.95,0.9,4.676571969353554e-08,1.610797046986673e-09,-4.148646048918181e-08
0,19,counterexample,0.95,0.95,4.515492264654887e-08,0.0,-2.2945489952519438e-08
0,19,counterexample,0.95,1.0,4.447117278559004e-08,-6.837498609588248e-10,-4.404603348717728e-09
0,19,counterexample,0.95,1.05,4.471446146638096e-08,-4.404611801679088e-10,1.4136194437242011e-08
0,19,counterexample,0.95,1.25,5.495796164461901e-08,9.803038998070146e-09,8.829856312786433e-08
0,19,counterexample,0.95,1.5,8.862027948368584e-08,4.3465356837136975e-08,1.8099963483564352e-07
0,25,low,1.0,0.0,2.0779953837829398e-08,2.0779953836908197e-08,-4.155858057686146e-08
0,25,low,1.0,0.25,1.1688907355982361e-08,1.168890735506116e-08,-3.1169678393894173e-08
0,25,low,1.0,0.5,5.195152756215167e-09,5.195152755293965e-09,-2.0780283271903954e-08
0,25,low,1.0,0.75,1.2988088383761818e-09,1.2988088374549789e-09,-1.0390389437731073e-08
0,25,low,1.0,0.9,2.078110337389878e-10,2.07811032817785e-10,-4.1562115971061075e-09
0,25,low,1.0,0.95,5.1952915100102317e-11,5.195291417889951e-11,-2.078115457493368e-09
0,25,low,1.0,1.0,9.212028045060322e-19,0.0,4.170676051467281e-25
0,25,low,1.0,1.05,5.195322970062637e-11,5.195322877942356e-11,2.0781352194632063e-09
0,25,low,1.0,1.25,1.2988522014514453e-09,1.2988522005302426e-09,1.0390895255341093e-08
0,25,low,1.0,1.5,5.1954881969508e-09,5.195488196029597e-09,2.078228167334828e-08
0,25,low,0.95,0.0,6.67593086744393e-08,2.160438602789044e-08,-4.248073715018563e-08
0,25,low,0.95,0.25,5.743770065496138e-08,1.2282778008412513e-08,-3.2092019708329644e-08
0,25,low,0.95,0.5,5.071333483443859e-08,5.558412187889723e-09,-2.1702807551093883e-08
0,25,low,0.95,0.75,4.658633816276713e-08,1.431415516218262e-09,-1.1313108227994917e-08
0,25,low,0.95,0.9,4.535692337622121e-08,2.02000729672341e-10,-5.079040965583204e-09
0,25,low,0.95,0.95,4.515492264654887e-08,0.0,-3.0009814633302767e-09
0,25,low,0.95,1.0,4.505682569568807e-08,-9.809695086079616e-11,-9.229043362868339e-10
0,25,low,0.95,1.05,4.506263306377362e-08,-9.228958277525226e-11,1.155194384594438e-09
0,25,low,0.95,1.25,4.6124928225555604e-08,9.700055790067383e-10,9.467803430140975e-09
0,25,low,0.95,1.5,4.979076377137975e-08,4.63584112483088e-09,1.985899178436057e-08
0,51,medium,1.0,0.0,5.7434612865782015e-08,5.7434612864860814e-08,-1.1486710249641874e-07
0,51,medium,1.0,0.25,3.230726772539789e-08,3.230726772447669e-08,-8.615151969593171e-08
0,51,medium,1.0,0.5,1.4358917027996657e-08,1.4358917027075454e-08,-5.743514464029431e-08
0,51,medium,1.0,0.75,3.589764434497314e-09,3.5897644335761114e-09,-2.8717979105863378e-08
0,51,medium,1.0,0.9,5.743653469355604e-10,5.743653460143575e-10,-1.148728490107942e-08
0,51,medium,1.0,0.95,1.4359157271265024e-10,1.4359157179144744e-10,-5.743657993662055e-09
0,51,medium,1.0,1.0,9.212028045060322e-19,0.0,-4.613112634465011e-23
0,51,medium,1.0,1.05,1.435918468104754e-10,1.435918458892726e-10,5.743684639014646e-09
0,51,medium,1.0,1.25,3.589831356011354e-09,3.5898313550901517e-09,2.8718778466441108e-08
0,51,medium,1.0,1.5,1.435945554516263e-08,1.4359455544241427e-08,5.743835274074627e-08
0,51,medium,0.95,0.0,1.0325147018153429e-07,5.809654753498543e-08,-1.1571483327088572e-07
0,51,medium,0.95,0.25,7.791218123926615e-08,3.275725859271728e-08,-8.699935705180906e-08
0,51,medium,0.95,0.5,5.975186067181805e-08,1.4596938025269191e-08,-5.8283076143084145e-08
0,51,medium,0.95,0.75,4.877070790297189e-08,3.615785256423027e-09,-2.956600297920886e-08
0,51,medium,0.95,0.9,4.5628101209934296e-08,4.731785633854335e-10,-1.2335378940520059e-08
0,51,medium,0.95,0.95,4.515492264654887e-08,0.0,-6.591769130537273e-09
0,51,medium,0.95,1.0,4.496892585342176e-08,-1.8599679312710331e-10,-8.481319535569298e-10
0,51,medium,0.95,1.05,4.507010976702671e-08,-8.481287952215332e-11,4.895542193850133e-09
0,51,medium,0.95,1.25,4.834671136008288e-08,3.1917887135340117e-09,2.7870547647523836e-08
0,51,medium,0.95,1.5,5.8904261190898095e-08,1.3749338544349226e-08,5.659001445224021e-08
0,57,high,1.0,0.0,1.0492276568137674e-07,1.0492276568045554e-07,-2.1009866912891084e-07
0,57,high,1.0,0.25,5.898363938651593e-08,5.8983639385594724e-08,-1.574306480733867e-07
0,57,high,1.0,0.5,2.619936919454184e-08,2.6199369193620635e-08,-1.0485947754546032e-07
0,57,high,1.0,0.75,6.545986972462221e-09,6.5459869715410185e-09,-5.238324263245886e-08
0,57,high,1.0,0.9,1.0469912770400047e-09,1.046991276118802e-09,-2.0942261258483086e-08
0,57,high,1.0,0.95,2.6171736551742613e-10,2.617173645962233e-10,-1.046930098169696e-08
0,57,high,1.0,1.0,9.212028045060322e-19,0.0,-7.86492389796131e-24
0,57,high,1.0,1.05,2.616559798103247e-10,2.6165597888912186e-10,1.0465643018875426e-08
0,57,high,1.0,1.25,6.5383925009726814e-09,6.5383925000514785e-09,5.229210664481343e-08
0,57,high,1.0,1.5,2.6138611930115913e-08,2.613861192919471e-08,1.0449491227859653e-07
0,57,high,0.95,0.0,1.6283117054389658e-07,1.1767624789734773e-07,-2.2394348064835867e-07
0,57,high,0.95,0.25,1.1344055408762171e-07,6.828563144107285e-08,-1.711980388563461e-07
0,57,high,0.95,0.5,7.72239319686406e-08,3.206900932209173e-08,-1.1855118486892025e-07
0,57,high,0.95,0.75,5.415690968013233e-08,9.001987033583463e-09,-6.600092916642097e-08
0,57,high,0.95,0.9,4.661854002732312e-08,1.4636173807742542e-09,-3.4516331126610567e-08
0,57,high,0.95,0.95,4.515492264654887e-08,0.0,-2.4028961931321646e-08
0,57,high,0.95,1.0,4.421558145665962e-08,-9.393411898892446e-10,-1.3545317756324948e-08
0,57,high,0.95,1.05,4.380032937050903e-08,-1.354593276039839e-09,-3.0653933280611056e-09
0,57,high,0.95,1.25,4.737652361771572e-08,2.221600971166853e-09,3.881755361589967e-08
0,57,high,0.95,1.5,6.361678590600132e-08,1.8461863259452458e-08,9.108954657222057e-08
0,75,high,1.0,0.0,1.379349514142012e-07,1.3793495141328e-07,-2.759036092925271e-07
0,75,high,1.0,0.25,7.758368479093619e-08,7.758368479001498e-08,-2.0690859514616022e-07
0,75,high,1.0,0.5,3.4479565530670336e-08,3.4479565529749134e-08,-1.379265093248705e-07
0,75,high,1.0,0.75,8.619380671586372e-09,8.61938067066517e-09,-6.895707826970465e-08
0,75,high,1.0,0.9,1.3790533860673637e-09,1.379053385146161e-09,-2.758137540581629e-08
0,75,high,1.0,0.95,3.447590013324408e-10,3.4475900041123796e-10,-1.3790438124772209e-08
0,75,high,1.0,1.0,9.212028045060322e-19,0.0,-1.1900817147314791e-23
0,75,high,1.0,1.05,3.4474951716162e-10,3.447495162404172e-10,1.3789926978091671e-08
0,75,high,1.0,1.25,8.618368908693233e-09,8.61836890777203e-09,6.894496529241678e-08
0,75,high,1.0,1.5,3.44714998302972e-08,3.447149982937599e-08,1.3787811425913787e-07
0,75,high,0.95,0.0,1.9217138227302123e-07,1.4701645962647237e-07,-2.858622210055728e-07
0,75,high,0.95,0.25,1.2933289734326517e-07,8.41779746967163e-08,-2.1684790851850266e-07
0,75,high,0.95,0.5,8.374632550375707e-08,3.8591402857208215e-08,-1.4784683344259975e-07
0,75,high,0.95,0.75,5.540839097699963e-08,1.025346833045077e-08,-7.885870800805606e-08
0,75,high,0.95,0.9,4.668365409734375e-08,1.5287314507948887e-09,-3.747197041548134e-08
0,75,high,0.95,0.95,4.515492264654887e-08,0.0,-2.367738360931071e-08
0,75,high,0.95,1.0,4.431590687566793e-08,-8.390157708809364e-10,-9.883282636735657e-09
0,75,high,0.95,1.05,4.416658489851938e-08,-9.883377480294833e-10,3.910275436780353e-09
0,75,high,0.95,1.25,5.046571667325081e-08,5.310794026701947e-09,5.907973132934785e-08
0,75,high,0.95,1.5,7.385476737440704e-08,2.8699844727858176e-08,1.280306420881061e-07
0,84,high,1.0,0.0,2.0099846921411264e-07,2.0099846921319143e-07,-4.0210663598827523e-07
0,84,high,1.0,0.25,1.1304632516577079e-07,1.1304632516484958e-07,-3.01517687262276e-07
0,84,high,1.0,0.5,5.023610396135323e-08,5.023610396043203e-08,-2.009710513561913e-07
0,84,high,1.0,0.75,1.2557373685752733e-08,1.255737368483153e-08,-1.0046554876907976e-07
0,84,high,1.0,0.9,2.0090237651788893e-09,2.0090237642576868e-09,-4.01815043460374e-08
0,84,high,1.0,0.95,5.022430407795466e-10,5.022430398583439e-10,-2.0089974128723043e-08
0,84,high,1.0,1.0,9.212028045060322e-19,0.0,8.571279182168795e-23
0,84,high,1.0,1.05,5.022155538241798e-10,5.02215552902977e-10,2.0088388730243878e-08
0,84,high,1.0,1.25,1.2554137867399678e-08,1.2554137866478475e-08,1.0042673181942519e-07
0,84,high,1.0,1.5,5.021023182455885e-08,5.021023182363765e-08,2.0081580487385509e-07
0,84,high,0.95,0.0,2.6197228579483193e-07,2.1681736314828307e-07,-4.193712470623723e-07
0,84,high,0.95,0.25,1.6970970866915e-07,1.245547860226011e-07,-3.187367383361561e-07
0,84,high,0.95,0.5,1.0260027042992861e-07,5.744534778337974e-08,-2.1814602035874486e-07
0,84,high,0.95,0.75,6.063317012844992e-08,1.5478247481901046e-08,-1.175977857315047e-07
0,84,high,0.95,0.9,4.751686280232318e-08,2.3619401557743144e-09,-5.728880125843716e-08
0,84,high,0.95,0.95,4.515492264654887e-08,0.0,-3.718905716709742e-08
0,84,high,0.95,1.0,4.3797929165983054e-08,-1.3569934805658115e-09,-1.7090934889552045e-08
0,84,high,0.95,1.05,4.344580226178305e-08,-1.7091203847658156e-09,3.005554388701981e-09
0,84,high,0.95,1.25,5.20843554906545e-08,6.929432844105632e-09,8.337574541883441e-08
0,84,high,0.95,1.5,8.548254639513252e-08,4.0327623748583656e-08,1.8380337962753401e-07
0,88,low,1.0,0.0,2.8869947464571214e-08,2.8869947463650012e-08,-5.774136369041116e-08
0,88,low,1.0,0.25,1.6239135856555448e-08,1.6239135855634247e-08,-4.330519232098595e-08
0,88,low,1.0,0.5,7.2173021998272935e-09,7.2173021989060914e-09,-2.8869576951251474e-08
0,88,low,1.0,0.75,1.804302509428557e-09,1.8043025085073543e-09,-1.443451269622642e-08
0,88,low,1.0,0.9,2.886866754150126e-10,2.8868667449380976e-10,-5.773744371495582e-09
0,88,low,1.0,0.95,7.217139228409453e-11,7.217139136289171e-11,-2.8868590851161002e-09
0,88,low,1.0,1.0,9.212028045060322e-19,0.0,-2.08719342658272e-24
0,88,low,1.0,1.05,7.217088065773945e-11,7.217087973653663e-11,2.886834327142651e-09
0,88,low,1.0,1.25,1.8042566655422966e-09,1.8042566646210939e-09,1.4433965134230675e-08
0,88,low,1.0,1.5,7.216939020171744e-09,7.216939019250541e-09,2.8867391144160592e-08
0,88,low,0.95,0.0,7.464876359172005e-08,2.9493840945171182e-08,-5.847470063713445e-08
0,88,low,0.95,0.25,6.183466091315138e-08,1.6679738266602515e-08,-4.403819353626659e-08
0,88,low,0.95,0.5,5.2629617381540574e-08,7.474694734991708e-09,-2.9602243323267885e-08
0,88,low,0.95,0.75,4.703349301247215e-08,1.8785703659232873e-09,-1.5166845557246234e-08
0,88,low,0.95,0.9,4.5408042453034975e-08,2.531198064861093e-10,-6.505877170326357e-09
0,88,low,0.95,0.95,4.515492264654887e-08,0.0,-3.618928268167565e-09
0,88,low,0.95,1.0,4.5046149410216405e-08,-1.0877323633246416e-10,-7.31999627578972e-10
0,88,low,0.95,1.05,4.508172206972501e-08,-7.320057682385621e-11,2.154905476281499e-09
0,88,low,0.95,1.25,4.666744828241698e-08,1.5125256358681124e-09,1.3702301515650106e-08
0,88,low,0.95,1.5,5.189725479791237e-08,6.742332151363502e-09,2.8136057927952152e-08
0,98,counterexample,1.0,0.0,1.0692258987244844e-07,1.0692258987152722e-07,-2.1400186511755237e-07
0,98,counterexample,1.0,0.25,6.012204608708896e-08,6.012204608616774e-08,-1.6041262540511525e-07
0,98,counterexample,1.0,0.5,2.671127775048334e-08,2.6711277749562135e-08,-1.068834194484225e-07
0,98,counterexample,1.0,0.75,6.675438310176411e-09,6.675438309255209e-09,-5.341297537597711e-08
0,98,counterexample,1.0,0.9,1.067844014067501e-09,1.0678440131462983e-09,-2.1358380841718372e-08
0,98,counterexample,1.0,0.95,2.669423064779601e-10,2.6694230555675727e-10,-1.0678063766533796e-08
0,98,counterexample,1.0,1.0,9.212028045060322e-19,0.0,-7.455103479064757e-23
0,98,counterexample,1.0,1.05,2.6690414866028567e-10,2.6690414773908285e-10,1.067580157609882e-08
0,98,counterexample,1.0,1.25,6.670754843548183e-09,6.670754842626981e-09,5.3356778551005846e-08
0,98,counterexample,1.0,1.5,2.667381165820446e-08,2.6673811657283254e-08,1.0665860727954168e-07
0,98,counterexample,0.95,0.0,1.6816773059488453e-07,1.2301280794833566e-07,-2.3132460569286195e-07
0,98,counterexample,0.95,0.25,1.1704352939645712e-07,7.188860674990825e-08,-1.776793325802828e-07
0,98,counterexample,0.95,0.5,7.932295773597903e-08,3.416803508943016e-08,-1.2409533667323558e-07
0,98,counterexample,0.95,0.75,5.49908648889608e-08,9.835942242411937e-09,-7.057128925680445e-08
0,98,counterexample,0.95,0.9,4.681189971696265e-08,1.6569770704137849e-09,-3.8485101327978555e-08
0,98,counterexample,0.95,0.95,4.515492264654887e-08,0.0,-2.7794344603648824e-08
0,98,counterexample,0.95,1.0,4.4032426073409226e-08,-1.1224965731396401e-09,-1.7105891814139795e-08
0,98,counterexample,0.95,1.05,4.344429460429863e-08,-1.7106280422502368e-09,-6.419748510566592e-09
0,98,counterexample,0.95,1.25,4.643313730618099e-08,1.2782146596321209e-09,3.630213640803959e-08
0,98,counterexample,0.95,1.5,6.217881672382299e-08,1.7023894077274118e-08,8.965404774130548e-08
0,101,medium,1.0,0.0,7.64486784905134e-08,7.64486784895922e-08,-1.5289257504491616e-07
0,101,medium,1.0,0.25,4.300305103424639e-08,4.300305103332518e-08,-1.1467211891158513e-07
0,101,medium,1.0,0.5,1.9112765909805978e-08,1.9112765908884777e-08,-7.644986865784631e-08
0,101,medium,1.0,0.75,4.778267493723298e-09,4.778267492802096e-09,-3.822583849455441e-08
0,101,medium,1.0,0.9,7.645298948413775e-10,7.645298939201745e-10,-1.5290550159363647e-08
0,101,medium,1.0,0.95,1.911330052782851e-10,1.911330043570823e-10,-7.645310162729402e-09
0,101,medium,1.0,1.0,9.212028045060322e-19,0.0,1.2473710419222089e-23
0,101,medium,1.0,1.05,1.911344415888172e-10,1.911344406676144e-10,7.645387434251916e-09
0,101,medium,1.0,1.25,4.7784201665237464e-09,4.778420165602544e-09,3.8227653931244276e-08
0,101,medium,1.0,1.5,1.9113978004553167e-08,1.9113978003631963e-08,7.645711974646474e-08
0,101,medium,0.95,0.0,1.232285947876799e-07,7.807367214113103e-08,-1.5480420145763674e-07
0,101,medium,0.95,0.25,8.93050562084009e-08,4.415013356185202e-08,-1.165837808514425e-07
0,101,medium,0.95,0.5,6.493684931365043e-08,1.9781926667101567e-08,-7.836158744112254e-08
0,101,medium,0.95,0.75,5.012441362635615e-08,4.9694909798072845e-09,-4.013760168675162e-08
0,101,medium,0.95,0.9,4.582391028558463e-08,6.689876390357651e-10,-1.7202351987322118e-08
0,101,medium,0.95,0.95,4.515492264654887e-08,0.0,-9.557124647230353e-09
0,101,medium,0.95,1.0,4.486819903683215e-08,-2.867236097167111e-10,-1.9118201466383766e-09
0,101,medium,0.95,1.05,4.4963741337974926e-08,-1.911813085739369e-10,5.7335467484875835e-09
0,101,medium,0.95,1.25,4.916865509999485e-08,4.013732453445985e-09,3.631577172313882e-08
0,101,medium,0.95,1.5,6.302623651242695e-08,1.7871313865878083e-08,7.454518069494043e-08
0,109,medium,1.0,0.0,4.9944298505182265e-08,4.9944298504261063e-08,-9.988833937768504e-08
0,109,medium,1.0,0.25,2.809370367438487e-08,2.809370367346367e-08,-7.491639664181093e-08
0,109,medium,1.0,0.5,1.2486107845554103e-08,1.24861078446329e-08,-4.9944363311738016e-08
0,109,medium,1.0,0.75,3.1215312947559447e-09,3.121531293834742e-09,-2.497223228203893e-08
0,109,medium,1.0,0.9,4.994457472215111e-10,4.994457463003084e-10,-9.988907478941655e-09
