baseline,expert_high,expert_low,truth_high,truth_low,truth_gap,first_high,first_low,hessian_high,hessian_low,hessian_relative_error_high,hessian_relative_error_low
first_order_abs,7,107,2.5841565893326776e-07,1.866560763110639e-07,7.175958262220387e-08,3.930214198533122e-08,4.281488434898506e-08,2.584156675311533e-07,1.8665606660306366e-07,3.327153461206796e-08,5.201009480204305e-08
first_order_signed,7,107,2.5841565893326776e-07,1.866560763110639e-07,7.175958262220387e-08,3.930214198533122e-08,4.281488434898506e-08,2.584156675311533e-07,1.8665606660306366e-07,3.327153461206796e-08,5.201009480204305e-08
first_order_abs,19,34,4.230079629291528e-07,3.5146302239652117e-07,7.154494053263162e-08,6.438303845612836e-08,6.560464118621211e-08,4.2300797531424905e-07,3.5146302934663254e-07,2.9278636226085022e-08,1.977480113155354e-08
first_order_signed,19,34,4.230079629291528e-07,3.5146302239652117e-07,7.154494053263162e-08,6.438303845612836e-08,6.560464118621211e-08,4.2300797531424905e-07,3.5146302934663254e-07,2.9278636226085022e-08,1.977480113155354e-08
first_order_abs,7,110,2.5841565893326776e-07,1.8698696004591304e-07,7.142869888735472e-08,3.930214198533122e-08,4.9258698009424506e-08,2.584156675311533e-07,1.869869379333977e-07,3.327153461206796e-08,1.1825699142521454e-07
first_order_signed,7,110,2.5841565893326776e-07,1.8698696004591304e-07,7.142869888735472e-08,3.930214198533122e-08,4.9258698009424506e-08,2.584156675311533e-07,1.869869379333977e-07,3.327153461206796e-08,1.1825699142521454e-07
first_order_abs,40,53,1.686782990410953e-07,9.752400249585814e-08,7.115429654523716e-08,2.228011162230814e-08,2.5503542300242542e-08,1.6867829799593892e-07,9.752397289730652e-08,6.196152052625168e-09,3.035001729349403e-07
first_order_signed,40,53,1.686782990410953e-07,9.752400249585814e-08,7.115429654523716e-08,2.228011162230814e-08,2.5503542300242542e-08,1.6867829799593892e-07,9.752397289730652e-08,6.196152052625168e-09,3.035001729349403e-07
first_order_abs,85,61,1.910761721314109e-07,1.2192018378822234e-07,6.915598834318855e-08,2.7133622282349276e-08,2.7173746053321678e-08,1.9107613979940652e-07,1.2192018061796261e-07,1.692100276399687e-07,2.6002747230406944e-08
first_order_signed,85,61,1.910761721314109e-07,1.2192018378822234e-07,6.915598834318855e-08,2.7133622282349276e-08,2.7173746053321678e-08,1.9107613979940652e-07,1.2192018061796261e-07,1.692100276399687e-07,2.6002747230406944e-08
first_order_abs,85,59,1.910761721314109e-07,1.2390988504654918e-07,6.71662870848617e-08,2.7133622282349276e-08,2.8547320951588517e-08,1.9107613979940652e-07,1.2390991344091162e-07,1.692100276399687e-07,2.2915332728812888e-07
first_order_signed,85,59,1.910761721314109e-07,1.2390988504654918e-07,6.71662870848617e-08,2.7133622282349276e-08,2.8547320951588517e-08,1.9107613979940652e-07,1.2390991344091162e-07,1.692100276399687e-07,2.2915332728812888e-07
first_order_abs,19,1,4.230079629291528e-07,3.559007473179022e-07,6.710721561125056e-08,6.438303845612836e-08,7.072924823603444e-08,4.2300797531424905e-07,3.5590073821367696e-07,2.9278636226085022e-08,2.5580798396450023e-08
first_order_signed,19,1,4.230079629291528e-07,3.559007473179022e-07,6.710721561125056e-08,6.438303845612836e-08,7.072924823603444e-08,4.2300797531424905e-07,3.5590073821367696e-07,2.9278636226085022e-08,2.5580798396450023e-08
first_order_abs,112,61,1.8775121915562393e-07,1.2192018378822234e-07,6.58310353674016e-08,2.61056233075152e-08,2.7173746053321678e-08,1.877512261216907e-07,1.2192018061796261e-07,3.710264468653408e-08,2.6002747230406944e-08
first_order_signed,112,61,1.8775121915562393e-07,1.2192018378822234e-07,6.58310353674016e-08,2.61056233075152e-08,2.7173746053321678e-08,1.877512261216907e-07,1.2192018061796261e-07,3.710264468653408e-08,2.6002747230406944e-08
first_order_abs,79,107,2.519509133831503e-07,1.866560763110639e-07,6.529483707208639e-08,3.6907157952015264e-08,4.281488434898506e-08,2.5195089392582304e-07,1.8665606660306366e-07,7.722665886699252e-08,5.201009480204305e-08
