layer,expert,loss_fn,beta_work,num_score_tokens,reference_active_batch_count,base_loss_at_identity,base_loss_at_work,gradient_at_identity,gradient_at_work,first_order_signed,first_order_abs,hessian_half_at_identity,reference_removal_at_identity,true_removal_at_identity,removal_loss_at_identity,true_removal_delta_at_work,removal_loss_at_work
0,63,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-7.526811529601218e-08,7.150470953121157e-08,7.150470953121157e-08,3.425816146318539e-07,3.4258158621014445e-07,3.4258157009361574e-07,3.4258157009361574e-07,3.8068453001228824e-07,4.921462468498976e-07
0,64,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-7.216249997554769e-08,6.85543749767703e-08,6.85543749767703e-08,3.7339162872740417e-07,3.733916571491136e-07,3.733916333558752e-07,3.733916333558752e-07,4.055403519624376e-07,5.170020688000469e-07
0,65,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-5.126862312465619e-08,4.870519196842337e-08,4.870519196842337e-08,2.957019091809343e-07,2.9570193760264374e-07,2.957019339184524e-07,2.957019339184524e-07,3.1557617862323644e-07,4.270378954608458e-07
0,66,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-9.60912727165919e-09,9.12867090807623e-09,9.12867090807623e-09,7.894446696354862e-08,7.894446696354862e-08,7.894446323495268e-08,7.894446323495268e-08,8.037604564045992e-08,1.9183776247806924e-07
0,67,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-2.543075439120912e-08,2.4159216671648662e-08,2.4159216671648662e-08,1.7300469323799916e-07,1.7300470744885388e-07,1.7300469204299645e-07,1.7300469204299645e-07,1.802959196227731e-07,2.9175763646038243e-07
0,68,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-3.626124822631027e-08,3.4448185814994754e-08,3.4448185814994754e-08,2.3698788709225482e-07,2.3698788709225482e-07,2.369878887074237e-07,2.369878887074237e-07,2.4832974374530114e-07,3.5979146058291047e-07
0,69,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-1.7123602091828616e-08,1.6267421987237184e-08,1.6267421987237184e-08,8.453864097646147e-08,8.453864097646147e-08,8.45386329917001e-08,8.45386329917001e-08,9.256354072164174e-08,2.0402525755925108e-07
0,70,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-1.235273261457337e-08,1.17350959838447e-08,1.17350959838447e-08,1.0342686351805241e-07,1.0342685641262506e-07,1.0342684881447056e-07,1.0342684881447056e-07,1.050778139014925e-07,2.1653953073910183e-07
0,71,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-1.149412742762479e-08,1.0919421056243549e-08,1.0919421056243549e-08,4.9478291686000375e-08,4.9478291686000375e-08,4.947829772923908e-08,4.947829772923908e-08,5.557356062527286e-08,1.6703527746288218e-07
0,72,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-9.298265268853356e-09,8.833352005410688e-09,8.833352005410688e-09,4.246982143740752e-08,4.246982143740752e-08,4.246981134017547e-08,4.246981134017547e-08,4.716240298402986e-08,1.5862411982163918e-07
