layer,expert,selection_group,background_beta,beta,measured_loss,measured_delta_loss,local_gradient_at_beta
0,89,medium,1.0,0.75,9.728862129783103e-09,9.728862129783103e-09,-7.783089728263803e-08
0,89,medium,1.0,0.9,1.5566191515205305e-09,1.5566191515205305e-09,-3.113237134755309e-08
0,89,medium,1.0,0.95,3.8915513129515375e-10,3.8915513129515375e-10,-1.5566191891025483e-08
0,89,medium,1.0,1.0,0.0,0.0,0.0
0,89,medium,1.0,1.05,3.8915354892550266e-10,3.8915354892550266e-10,1.5566159916602373e-08
0,89,medium,1.0,1.25,9.728860342434269e-09,9.728860342434269e-09,7.783089017721068e-08
0,89,medium,1.0,1.5,3.89154507380021e-08,3.89154507380021e-08,1.5566180167070343e-07
0,89,medium,0.95,0.0,2.689236735943687e-07,1.5746195675675944e-07,-3.13628135018007e-07
0,89,medium,0.95,0.25,2.0024549841221945e-07,8.878378157461013e-08,-2.3579723773536898e-07
0,89,medium,0.95,0.5,1.5102505796214468e-07,3.956334112453535e-08,-1.579663475581583e-07
0,89,medium,0.95,0.75,1.2126233696271543e-07,9.800620125106125e-09,-8.013544317009291e-08
0,89,medium,0.95,0.9,1.1274441054489134e-07,1.282693707282024e-09,-3.343691012958061e-08
0,89,medium,0.95,0.95,1.1146171683760932e-07,0.0,-1.7870726232160905e-08
0,89,medium,0.95,1.0,1.1095732642920116e-07,-5.043904084081597e-10,-2.304539559183638e-09
0,89,medium,0.95,1.05,1.112312736434195e-07,-2.3044319418981562e-10,1.3261614917325915e-08
0,89,medium,0.95,1.25,1.2011006850480206e-07,8.648351667192733e-09,7.552635494789683e-08
0,89,medium,0.95,1.5,1.4872050972039016e-07,3.725879288278084e-08,1.5335725578324855e-07
0,91,high,1.0,0.0,2.2688367786724848e-07,2.2688367786724848e-07,-4.537673845561585e-07
0,91,high,1.0,0.25,1.276220854944554e-07,1.276220854944554e-07,-3.4032555618068727e-07
0,91,high,1.0,0.5,5.672092454663237e-08,5.672092454663237e-08,-2.2688369227807925e-07
0,91,high,1.0,0.75,1.4180232786107958e-08,1.4180232786107958e-08,-1.1344185324446698e-07
0,91,high,1.0,0.9,2.2688371308842594e-09,2.2688371308842594e-09,-4.537673881088722e-08
0,91,high,1.0,0.95,5.672072401969362e-10,5.672072401969362e-10,-2.2688330325593142e-08
0,91,high,1.0,1.0,0.0,0.0,0.0
0,91,high,1.0,1.05,5.672082261659719e-10,5.672082261659719e-10,2.2688349865518376e-08
0,91,high,1.0,1.25,1.4180230845940623e-08,1.4180230845940623e-08,1.1344185324446698e-07
0,91,high,1.0,1.5,5.67209257503423e-08,5.67209257503423e-08,2.2688370648893397e-07
0,91,high,0.95,0.0,3.569222943120407e-07,2.4546057747443136e-07,-4.739190586633413e-07
0,91,high,0.95,0.25,2.526227444542434e-07,1.4116102761663405e-07,-3.604771876553059e-07
0,91,high,0.95,0.5,1.766836652054734e-07,6.522194836786409e-08,-2.4703533085812523e-07
0,91,high,0.95,0.75,1.291050738045232e-07,1.764335696691388e-08,-1.33593502482654e-07
0,91,high,0.95,0.9,1.141709384789589e-07,2.7092216413495867e-09,-6.552841824714051e-08
0,91,high,0.95,0.95,1.1146171683760932e-07,0.0,-4.2840031966306924e-08
0,91,high,0.95,1.0,1.0988692018279906e-07,-1.5747966548102618e-09,-2.015161726376391e-08
0,91,high,0.95,1.05,1.0944655077263841e-07,-2.015166064970903e-09,2.5367020706212884e-09
0,91,high,0.95,1.25,1.1902924393893418e-07,7.567527101324864e-09,9.329017558457053e-08
0,91,high,0.95,1.5,1.5653203220821457e-07,4.5070315370605234e-08,2.0673206080346063e-07
0,98,counterexample,1.0,0.0,2.478818965778365e-07,2.478818965778365e-07,-4.957637713687291e-07
0,98,counterexample,1.0,0.25,1.3943357976848987e-07,1.3943357976848987e-07,-3.7182283563197416e-07
0,98,counterexample,1.0,0.5,6.197046674751432e-08,6.197046674751432e-08,-2.4788188568436453e-07
0,98,counterexample,1.0,0.75,1.5492622336337716e-08,1.5492622336337716e-08,-1.2394095705303698e-07
0,98,counterexample,1.0,0.9,2.4788227565239884e-09,2.4788227565239884e-09,-4.9576417637808845e-08
0,98,counterexample,1.0,0.95,6.19704935637705e-10,6.19704935637705e-10,-2.4788192831692868e-08
0,98,counterexample,1.0,1.0,0.0,0.0,0.0
0,98,counterexample,1.0,1.05,6.197028551640664e-10,6.197028551640664e-10,2.4788151975485562e-08
0,98,counterexample,1.0,1.25,1.5492614245986757e-08,1.5492614245986757e-08,1.239409215259002e-07
0,98,counterexample,1.0,1.5,6.197047446464688e-08,6.197047446464688e-08,2.4788188568436453e-07
0,98,counterexample,0.95,0.0,4.0774794123364915e-07,2.962862243960398e-07,-5.473680744216836e-07
0,98,counterexample,0.95,0.25,2.8639853213657225e-07,1.7493681529896292e-07,-4.2342705341980036e-07
0,98,counterexample,0.95,0.5,1.960343895560585e-07,8.457267271844918e-08,-2.9948613189390016e-07
0,98,counterexample,0.95,0.75,1.366554676740864e-07,2.5193750836477077e-08,-1.7554516773543583e-07
0,98,counterexample,0.95,0.9,1.1590104342932334e-07,4.439326591714025e-09,-1.0118063187292137e-07
0,98,counterexample,0.95,0.95,1.1146171683760932e-07,0.0,-7.639244259394218e-08
0,98,counterexample,0.95,1.0,1.082617943215871e-07,-3.1999225160222228e-09,-5.1604233775037756e-08
0,98,counterexample,0.95,1.05,1.0630128777272341e-07,-5.1604290648859024e-09,-2.6816070253232738e-08
0,98,counterexample,0.95,1.25,1.108533520787453e-07,-6.083647588640154e-10,7.233671084350135e-08
0,98,counterexample,0.95,1.5,1.444301507110778e-07,3.296843387346849e-08,1.9627764658025626e-07
0,120,high,1.0,0.0,4.314400147657484e-07,4.314400147657484e-07,-8.628799719190283e-07
0,120,high,1.0,0.25,2.426849646546436e-07,2.426849646546436e-07,-6.471598794632882e-07
0,120,high,1.0,0.5,1.078599949587973e-07,1.078599949587973e-07,-4.3143997174865945e-07
0,120,high,1.0,0.75,2.696499352471202e-08,2.696499352471202e-08,-2.1571996455804765e-07
0,120,high,1.0,0.9,4.314405035793797e-09,4.314405035793797e-09,-8.628804692989434e-08
0,120,high,1.0,0.95,1.0786026976033602e-09,1.0786026976033602e-09,-4.31440518866566e-08
0,120,high,1.0,1.0,0.0,0.0,0.0
