baseline,expert_high,expert_low,truth_high,truth_low,truth_gap,first_high,first_low,hessian_high,hessian_low,hessian_relative_error_high,hessian_relative_error_low,truth_increase_percent,first_decrease_percent,balanced_display_score,both_differences_at_least_20_percent,both_full_curves_available
first_order_abs,30,49,1.3951483361448216e-07,1.1626997167262457e-07,2.324486194185759e-08,1.9487615121605018e-08,2.5099755562862924e-08,1.395148103711108e-07,1.1627000873204452e-07,1.6660143413524415e-07,3.187359505840401e-07,19.992145527743798,22.359343011138765,0.199921455277438,False,False
first_order_abs,68,107,2.369878887074237e-07,1.866560763110639e-07,5.033181239635981e-08,3.4448185814994754e-08,4.281488434898506e-08,2.3698788709225482e-07,1.8665606660306366e-07,6.815406842506316e-09,5.201009480204305e-08,26.965000760265333,19.541565185119183,0.1954156518511918,False,False
first_order_abs,67,100,1.7300469204299645e-07,1.3696808983206857e-07,3.6036602210927886e-08,2.4159216671648662e-08,3.000378017148364e-08,1.7300469323799916e-07,1.3696808309759945e-07,6.907342783729391e-09,4.916816119571488e-08,26.310217405463575,19.479423814035933,0.19479423814035934,False,False
first_order_abs,117,54,7.30299217324724e-08,6.11537206018827e-08,1.1876201130589698e-08,8.970280185316426e-09,1.2734994903063068e-08,7.302990923108155e-08,6.115369899362122e-08,1.7118176427422628e-07,3.53343365929183e-07,19.420242977373437,29.561964856704726,0.19420242977373436,False,False
first_order_abs,52,32,9.769869474793701e-08,8.18308618724767e-08,1.5867832875460306e-08,1.311920956315049e-08,1.725679319442008e-08,9.769868825060257e-08,8.183085498103537e-08,6.650379981151873e-08,8.421567577073036e-08,19.391012769960025,23.97654989924468,0.19391012769960025,False,False
first_order_abs,65,98,2.957019339184524e-07,2.478818965778365e-07,4.7820037340615866e-08,4.870519196842337e-08,7.257282046424507e-08,2.957019091809343e-07,2.4788189989521925e-07,8.365693707888585e-08,1.338291651234561e-08,19.29146016744312,32.88783368641531,0.1929146016744312,False,True
first_order_abs,116,61,1.4535722597706295e-07,1.2192018378822234e-07,2.3437042188840616e-08,2.0910953857367076e-08,2.7173746053321678e-08,1.453572338050435e-07,1.2192018061796261e-07,5.385339808232365e-08,2.6002747230406944e-08,19.223266780462865,23.04721691174062,0.19223266780462867,False,False
first_order_abs,55,103,7.704004311600434e-08,6.467719250289398e-08,1.2362850613110361e-08,8.93364392462459e-09,1.6147219428219726e-08,7.704005611230968e-08,6.467718094427255e-08,1.686954577999346e-07,1.7871247938348766e-07,19.114698914238094,44.673793749209324,0.19114698914238093,False,False
first_order_abs,4,53,1.7896841646260672e-07,9.752400249585814e-08,8.144441396674857e-08,2.06474083608299e-08,2.5503542300242542e-08,1.7896843473863555e-07,9.752397289730652e-08,1.0211873800997768e-07,3.035001729349403e-07,83.51217329314137,19.041017448648535,0.19041017448648534,False,False
first_order_abs,51,53,1.1593506617239107e-07,9.752400249585814e-08,1.8411063676532926e-08,1.429185636503405e-08,2.5503542300242542e-08,1.1593508020268928e-07,9.752397289730652e-08,1.2101858972234887e-07,3.035001729349403e-07,18.87849473499086,43.961288997496894,0.18878494734990858,False,False
first_order_abs,52,103,9.769869474793701e-08,6.467719250289398e-08,3.302150224504303e-08,1.311920956315049e-08,1.6147219428219726e-08,9.769868825060257e-08,6.467718094427255e-08,6.650379981151873e-08,1.7871247938348766e-07,51.05586833189377,18.75251574136242,0.1875251574136242,False,False
first_order_abs,99,53,1.1580406988235182e-07,9.752400249585814e-08,1.8280067386493676e-08,1.7487770875845852e-08,2.5503542300242542e-08,1.1580405612221512e-07,9.752397289730652e-08,1.1882256572584476e-07,3.035001729349403e-07,18.744172633060295,31.43003167964028,0.18744172633060296,False,False
first_order_abs,65,57,2.957019339184524e-07,2.3652235047802466e-07,5.9179583440427725e-08,4.870519196842337e-08,5.993303862084076e-08,2.957019091809343e-07,2.3652235370263952e-07,8.365693707888585e-08,1.3633446696937914e-08,25.02071509133177,18.733985312256596,0.18733985312256596,False,True
first_order_abs,127,53,1.3031599435410752e-07,9.752400249585814e-08,3.279199185824937e-08,2.0738731221214835e-08,2.5503542300242542e-08,1.303159962162681e-07,9.752397289730652e-08,1.4289578174746489e-08,3.035001729349403e-07,33.62453449307728,18.682938326502175,0.18682938326502174,False,False
first_order_abs,18,44,1.1121424421692042e-07,9.374412206434479e-08,1.7470122152575624e-08,1.278802433946069e-08,1.5900763639109528e-08,1.1121424847715389e-07,9.374412002216559e-08,3.830654517715742e-08,2.1784610693797647e-08,18.635965400139277,19.576036536966956,0.18635965400139276,False,False
first_order_abs,4,83,1.7896841646260672e-07,1.5086226270278802e-07,2.8106153759818702e-08,2.06474083608299e-08,3.01162327076554e-08,1.7896843473863555e-07,1.508622773371826e-07,1.0211873800997768e-07,9.70050052672574e-08,18.630340852828333,31.440932332876326,0.1863034085282833,False,False
first_order_abs,55,71,7.704004311600434e-08,4.947829772923908e-08,2.7561745386765263e-08,8.93364392462459e-09,1.0919421056243549e-08,7.704005611230968e-08,4.9478291686000375e-08,1.686954577999346e-07,1.2213917984001535e-07,55.70471631338625,18.185736417623755,0.18185736417623755,False,False
first_order_abs,13,98,4.049963130729224e-07,2.478818965778365e-07,1.5711441649508587e-07,5.939747111938231e-08,7.257282046424507e-08,4.0499631381862855e-07,2.4788189989521925e-07,1.84126652616885e-09,1.338291651234561e-08,63.38277166027368,18.15466074017881,0.18154660740178807,False,True
first_order_abs,89,127,1.5566180091105214e-07,1.3031599435410752e-07,2.534580655694463e-08,1.697718992055286e-08,2.0738731221214835e-08,1.5566179456527607e-07,1.303159962162681e-07,4.076643106433669e-08,1.4289578174746489e-08,19.449497878266953,18.13776002272539,0.1813776002272539,False,False
first_order_abs,109,69,9.983759457675815e-08,8.45386329917001e-08,1.5298961585058046e-08,1.1132776189803905e-08,1.6267421987237184e-08,9.983759241549706e-08,8.453864097646147e-08,2.1647768060678226e-08,9.445103476480743e-08,18.097006118563662,31.563979845495695,0.18097006118563663,False,False
first_order_abs,111,26,1.7751961480411947e-07,1.2649505103068067e-07,5.1024563773438806e-08,2.3435098750468342e-08,2.8597835743937592e-08,1.7751960967871128e-07,1.2649502423300873e-07,2.887234856544041e-08,2.1184759177155848e-07,40.337201619898224,18.05289407106162,0.1805289407106162,False,False
first_order_abs,40,61,1.686782990410953e-07,1.2192018378822234e-07,4.675811525287297e-08,2.228011162230814e-08,2.7173746053321678e-08,1.6867829799593892e-07,1.2192018061796261e-07,6.196152052625168e-09,2.6002747230406944e-08,38.35141467149745,18.00868537378323,0.1800868537378323,False,False
first_order_abs,116,53,1.4535722597706295e-07,9.752400249585814e-08,4.783322348120481e-08,2.0910953857367076e-08,2.5503542300242542e-08,1.453572338050435e-07,9.752397289730652e-08,5.385339808232365e-08,3.035001729349403e-07,49.04764186974,18.007649246558934,0.18007649246558932,False,False
first_order_abs,111,59,1.7751961480411947e-07,1.2390988504654918e-07,5.360972975757029e-08,2.3435098750468342e-08,2.8547320951588517e-08,1.7751960967871128e-07,1.2390991344091162e-07,2.887234856544041e-08,2.2915332728812888e-07,43.265095224187114,17.90788778319916,0.1790788778319916,False,False
first_order_abs,7,50,2.5841565893326776e-07,1.741873628227445e-07,8.422829611052326e-08,3.930214198533122e-08,4.7874379394130526e-08,2.584156675311533e-07,1.74187334778253e-07,3.327153461206796e-08,1.6100187211350373e-07,48.35499817299327,17.905688840846423,0.17905688840846423,False,False
