dual_bound,incumbent,layer_end,layer_start,layers,m,median_time_seconds,method,milp_binary_variables,mip_gap,mip_node_count,plan,plan_sha256,prune_ratio,relative_spread,relative_spread_percent,solver_message,solver_optimal,solver_reported_objective,solver_status,solver_success,spread,timing_repeats,warmup_runs
18687.999999999993,18688.0,48,44,4,4,0.08007593709044158,milp_assignment,64,0.0,1,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.2698706099815157,26.98706099815157,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,18687.999999999993,0,True,18688.0,1,0
,2048.0,8,0,8,4,0.0014200150035321712,greedy_pairwise_swap,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.015165876777251185,1.5165876777251186,sort initialization with local refinement,,,0,,2048.0,5,1
,2048.0,8,0,8,4,0.003861969104036689,greedy_full_bijection,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.015165876777251185,1.5165876777251186,sort initialization with local refinement,,,0,,2048.0,5,1
0.0,0.0,8,0,8,4,0.7796100149862468,milp_assignment,128,0.0,1448,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,0.0,0,True,0.0,1,0
,896.0,16,8,8,4,0.002242104848846793,greedy_pairwise_swap,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.006758387641805455,0.6758387641805456,sort initialization with local refinement,,,0,,896.0,5,1
,1024.0,16,8,8,4,0.003873070003464818,greedy_full_bijection,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.007723871590634806,0.7723871590634807,sort initialization with local refinement,,,0,,1024.0,5,1
127.99999994639074,128.0,16,8,8,4,10.291249354137108,milp_assignment,128,0.0,22839,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.0009654839488293508,0.09654839488293508,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,127.99999994639074,0,True,128.0,1,0
,4224.0,24,16,8,4,0.001428623916581273,greedy_pairwise_swap,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.02928777457288662,2.928777457288662,sort initialization with local refinement,,,0,,4224.0,5,1
,4224.0,24,16,8,4,0.003825207008048892,greedy_full_bijection,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.02928777457288662,2.928777457288662,sort initialization with local refinement,,,0,,4224.0,5,1
127.99999999906868,128.0,24,16,8,4,7.434657896868885,milp_assignment,128,0.0,14695,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.0008875083203905037,0.08875083203905038,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,127.99999999906868,0,True,128.0,1,0
,4224.0,32,24,8,4,0.002571849850937724,greedy_pairwise_swap,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.03133903133903134,3.133903133903134,sort initialization with local refinement,,,0,,4224.0,5,1
,4224.0,32,24,8,4,0.0038350559771060944,greedy_full_bijection,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.03133903133903134,3.133903133903134,sort initialization with local refinement,,,0,,4224.0,5,1
0.0,0.0,32,24,8,4,1.3588939369656146,milp_assignment,128,0.0,2712,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,0.0,0,True,0.0,1,0
,3584.0,40,32,8,4,0.0010680549312382936,greedy_pairwise_swap,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.026156001868285848,2.6156001868285848,sort initialization with local refinement,,,0,,3584.0,5,1
,3584.0,40,32,8,4,0.0026747039519250393,greedy_full_bijection,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.026156001868285848,2.6156001868285848,sort initialization with local refinement,,,0,,3584.0,5,1
127.99999999970896,128.0,40,32,8,4,11.54683305695653,milp_assignment,128,0.0,28651,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.0009341429238673517,0.09341429238673517,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,127.99999999970896,0,True,128.0,1,0
,3072.0,48,40,8,4,0.001071003032848239,greedy_pairwise_swap,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.021616752983562262,2.161675298356226,sort initialization with local refinement,,,0,,3072.0,5,1
,3072.0,48,40,8,4,0.0026745758950710297,greedy_full_bijection,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.021616752983562262,2.161675298356226,sort initialization with local refinement,,,0,,3072.0,5,1
