layer,expert,loss_fn,beta_global,num_score_tokens,gradient_signed,gradient_abs,gradient_at_global_zero,ratio_to_global_zero_pct,ratio_valid,first_order_signed,first_order_abs
0,56,kl_div,0.0,4096,-1.8501071963328286e-07,1.8501071963328286e-07,-1.8501071963328286e-07,100.0,True,0.0,0.0
0,57,kl_div,0.0,4096,-5.030052818710828e-07,5.030052818710828e-07,-5.030052818710828e-07,100.0,True,0.0,0.0
0,58,kl_div,0.0,4096,-1.081271001623918e-07,1.081271001623918e-07,-1.081271001623918e-07,100.0,True,0.0,0.0
0,59,kl_div,0.0,4096,-1.4902227007951296e-07,1.4902227007951296e-07,-1.4902227007951296e-07,100.0,True,0.0,0.0
0,60,kl_div,0.0,4096,-5.95627767552287e-07,5.95627767552287e-07,-5.95627767552287e-07,100.0,True,0.0,0.0
0,61,kl_div,0.0,4096,-2.628475144206277e-07,2.628475144206277e-07,-2.628475144206277e-07,100.0,True,0.0,0.0
0,62,kl_div,0.0,4096,-2.946038080153812e-07,2.946038080153812e-07,-2.946038080153812e-07,100.0,True,0.0,0.0
0,63,kl_div,0.0,4096,-5.944303893556935e-07,5.944303893556935e-07,-5.944303893556935e-07,100.0,True,0.0,0.0
0,64,kl_div,0.0,4096,-6.36681505739034e-07,6.36681505739034e-07,-6.36681505739034e-07,100.0,True,0.0,0.0
0,65,kl_div,0.0,4096,-4.209217365769291e-07,4.209217365769291e-07,-4.209217365769291e-07,100.0,True,0.0,0.0
0,66,kl_div,0.0,4096,-9.643459719654857e-08,9.643459719654857e-08,-9.643459719654857e-08,100.0,True,0.0,0.0
0,67,kl_div,0.0,4096,-2.343449452268942e-07,2.343449452268942e-07,-2.343449452268942e-07,100.0,True,0.0,0.0
0,68,kl_div,0.0,4096,-3.406404971428856e-07,3.406404971428856e-07,-3.406404971428856e-07,100.0,True,0.0,0.0
0,69,kl_div,0.0,4096,-1.5468402381202395e-07,1.5468402381202395e-07,-1.5468402381202395e-07,100.0,True,0.0,0.0
0,70,kl_div,0.0,4096,-1.1462131510597828e-07,1.1462131510597828e-07,-1.1462131510597828e-07,100.0,True,0.0,0.0
0,71,kl_div,0.0,4096,-8.771767312509837e-08,8.771767312509837e-08,-8.771767312509837e-08,100.0,True,0.0,0.0
0,72,kl_div,0.0,4096,-6.779414718494081e-08,6.779414718494081e-08,-6.779414718494081e-08,100.0,True,0.0,0.0
0,73,kl_div,0.0,4096,-5.7717363333154026e-08,5.7717363333154026e-08,-5.7717363333154026e-08,100.0,True,0.0,0.0
0,74,kl_div,0.0,4096,-1.108224161328053e-07,1.108224161328053e-07,-1.108224161328053e-07,100.0,True,0.0,0.0
0,75,kl_div,0.0,4096,-4.810255518350459e-07,4.810255518350459e-07,-4.810255518350459e-07,100.0,True,0.0,0.0
0,76,kl_div,0.0,4096,-2.5888668098161816e-08,2.5888668098161816e-08,-2.5888668098161816e-08,100.0,True,0.0,0.0
0,77,kl_div,0.0,4096,-1.7045872624521508e-07,1.7045872624521508e-07,-1.7045872624521508e-07,100.0,True,0.0,0.0
0,78,kl_div,0.0,4096,-1.5286011034731928e-07,1.5286011034731928e-07,-1.5286011034731928e-07,100.0,True,0.0,0.0
0,79,kl_div,0.0,4096,-3.2235311664408073e-07,3.2235311664408073e-07,-3.2235311664408073e-07,100.0,True,0.0,0.0
0,80,kl_div,0.0,4096,-1.6776895961356786e-07,1.6776895961356786e-07,-1.6776895961356786e-07,100.0,True,0.0,0.0
0,81,kl_div,0.0,4096,-4.3866749876997346e-07,4.3866749876997346e-07,-4.3866749876997346e-07,100.0,True,0.0,0.0
0,82,kl_div,0.0,4096,-7.471399783298693e-07,7.471399783298693e-07,-7.471399783298693e-07,100.0,True,0.0,0.0
0,83,kl_div,0.0,4096,-2.486648327248986e-07,2.486648327248986e-07,-2.486648327248986e-07,100.0,True,0.0,0.0
0,84,kl_div,0.0,4096,-7.653785587535822e-07,7.653785587535822e-07,-7.653785587535822e-07,100.0,True,0.0,0.0
0,85,kl_div,0.0,4096,-1.9992144473235385e-07,1.9992144473235385e-07,-1.9992144473235385e-07,100.0,True,0.0,0.0
0,86,kl_div,0.0,4096,-1.671963829608103e-07,1.671963829608103e-07,-1.671963829608103e-07,100.0,True,0.0,0.0
0,87,kl_div,0.0,4096,-3.63890706012171e-07,3.63890706012171e-07,-3.63890706012171e-07,100.0,True,0.0,0.0
0,88,kl_div,0.0,4096,-7.242954325192841e-08,7.242954325192841e-08,-7.242954325192841e-08,100.0,True,0.0,0.0
0,89,kl_div,0.0,4096,-1.6716519013471043e-07,1.6716519013471043e-07,-1.6716519013471043e-07,100.0,True,0.0,0.0
0,90,kl_div,0.0,4096,-6.001455687965063e-08,6.001455687965063e-08,-6.001455687965063e-08,100.0,True,0.0,0.0
0,91,kl_div,0.0,4096,-3.400127184249868e-07,3.400127184249868e-07,-3.400127184249868e-07,100.0,True,0.0,0.0
0,92,kl_div,0.0,4096,-9.348565654931917e-08,9.348565654931917e-08,-9.348565654931917e-08,100.0,True,0.0,0.0
0,93,kl_div,0.0,4096,-2.6003824871168035e-07,2.6003824871168035e-07,-2.6003824871168035e-07,100.0,True,0.0,0.0
0,94,kl_div,0.0,4096,-8.192439793219819e-08,8.192439793219819e-08,-8.192439793219819e-08,100.0,True,0.0,0.0
0,95,kl_div,0.0,4096,-1.2902760815336478e-07,1.2902760815336478e-07,-1.2902760815336478e-07,100.0,True,0.0,0.0
0,96,kl_div,0.0,4096,-1.3179375102367885e-07,1.3179375102367885e-07,-1.3179375102367885e-07,100.0,True,0.0,0.0
0,97,kl_div,0.0,4096,-1.5251537632821055e-07,1.5251537632821055e-07,-1.5251537632821055e-07,100.0,True,0.0,0.0
0,98,kl_div,0.0,4096,-5.79190611915692e-07,5.79190611915692e-07,-5.79190611915692e-07,100.0,True,0.0,0.0
0,99,kl_div,0.0,4096,-1.7085827153096034e-07,1.7085827153096034e-07,-1.7085827153096034e-07,100.0,True,0.0,0.0
0,100,kl_div,0.0,4096,-2.7358687759715394e-07,2.7358687759715394e-07,-2.7358687759715394e-07,100.0,True,0.0,0.0
0,101,kl_div,0.0,4096,-1.9142867913046757e-07,1.9142867913046757e-07,-1.9142867913046757e-07,100.0,True,0.0,0.0
0,102,kl_div,0.0,4096,-7.376278006177017e-07,7.376278006177017e-07,-7.376278006177017e-07,100.0,True,0.0,0.0
0,103,kl_div,0.0,4096,-1.2264266757711084e-07,1.2264266757711084e-07,-1.2264266757711084e-07,100.0,True,0.0,0.0
0,104,kl_div,0.0,4096,-7.129712571440905e-07,7.129712571440905e-07,-7.129712571440905e-07,100.0,True,0.0,0.0
0,105,kl_div,0.0,4096,-1.5686430288042175e-07,1.5686430288042175e-07,-1.5686430288042175e-07,100.0,True,0.0,0.0
0,106,kl_div,0.0,4096,-1.4626871802647656e-06,1.4626871802647656e-06,-1.4626871802647656e-06,100.0,True,0.0,0.0
0,107,kl_div,0.0,4096,-3.544252109577428e-07,3.544252109577428e-07,-3.544252109577428e-07,100.0,True,0.0,0.0
0,108,kl_div,0.0,4096,-1.8936445655981515e-07,1.8936445655981515e-07,-1.8936445655981515e-07,100.0,True,0.0,0.0
0,109,kl_div,0.0,4096,-1.0588358634322503e-07,1.0588358634322503e-07,-1.0588358634322503e-07,100.0,True,0.0,0.0
0,110,kl_div,0.0,4096,-3.947411926219502e-07,3.947411926219502e-07,-3.947411926219502e-07,100.0,True,0.0,0.0
0,111,kl_div,0.0,4096,-2.1129327620883487e-07,2.1129327620883487e-07,-2.1129327620883487e-07,100.0,True,0.0,0.0
0,112,kl_div,0.0,4096,-2.4242351059911016e-07,2.4242351059911016e-07,-2.4242351059911016e-07,100.0,True,0.0,0.0
0,113,kl_div,0.0,4096,-6.301988619838994e-08,6.301988619838994e-08,-6.301988619838994e-08,100.0,True,0.0,0.0
0,114,kl_div,0.0,4096,-1.3549068853535573e-06,1.3549068853535573e-06,-1.3549068853535573e-06,100.0,True,0.0,0.0
0,115,kl_div,0.0,4096,-1.3375416187955125e-06,1.3375416187955125e-06,-1.3375416187955125e-06,100.0,True,0.0,0.0
0,116,kl_div,0.0,4096,-1.8780437471832556e-07,1.8780437471832556e-07,-1.8780437471832556e-07,100.0,True,0.0,0.0
0,117,kl_div,0.0,4096,-8.548789054430017e-08,8.548789054430017e-08,-8.548789054430017e-08,100.0,True,0.0,0.0
0,118,kl_div,0.0,4096,-7.989092232207895e-08,7.989092232207895e-08,-7.989092232207895e-08,100.0,True,0.0,0.0
0,119,kl_div,0.0,4096,-1.472190369611326e-07,1.472190369611326e-07,-1.472190369611326e-07,100.0,True,0.0,0.0
0,120,kl_div,0.0,4096,-6.37099702771593e-07,6.37099702771593e-07,-6.37099702771593e-07,100.0,True,0.0,0.0
0,121,kl_div,0.0,4096,-2.459066195115156e-08,2.459066195115156e-08,-2.459066195115156e-08,100.0,True,0.0,0.0
0,122,kl_div,0.0,4096,-1.687931145966104e-07,1.687931145966104e-07,-1.687931145966104e-07,100.0,True,0.0,0.0
0,123,kl_div,0.0,4096,-5.9233354221532863e-08,5.9233354221532863e-08,-5.9233354221532863e-08,100.0,True,0.0,0.0
0,124,kl_div,0.0,4096,-5.132481248892873e-07,5.132481248892873e-07,-5.132481248892873e-07,100.0,True,0.0,0.0
0,125,kl_div,0.0,4096,-1.181606648970046e-06,1.181606648970046e-06,-1.181606648970046e-06,100.0,True,0.0,0.0
0,126,kl_div,0.0,4096,-5.660432407239568e-07,5.660432407239568e-07,-5.660432407239568e-07,100.0,True,0.0,0.0
0,127,kl_div,0.0,4096,-1.9689721142412964e-07,1.9689721142412964e-07,-1.9689721142412964e-07,100.0,True,0.0,0.0
0,0,kl_div,0.25,4096,-6.850680023262612e-08,6.850680023262612e-08,-9.144365265001397e-08,74.91695513829156,True,1.712670005815653e-08,1.712670005815653e-08
0,1,kl_div,0.25,4096,-3.844148466214392e-07,3.844148466214392e-07,-5.155428652869887e-07,74.56505996013463,True,9.61037116553598e-08,9.61037116553598e-08
0,2,kl_div,0.25,4096,-3.211380317225121e-07,3.211380317225121e-07,-4.3169806929199694e-07,74.38949918149785,True,8.028450793062802e-08,8.028450793062802e-08
0,3,kl_div,0.25,4096,-2.003622014967732e-07,2.003622014967732e-07,-2.6742511494148857e-07,74.92273174889036,True,5.00905503741933e-08,5.00905503741933e-08
0,4,kl_div,0.25,4096,-1.7242455641053311e-07,1.7242455641053311e-07,-2.2986363035215618e-07,75.01167372427507,True,4.310613910263328e-08,4.310613910263328e-08
0,5,kl_div,0.25,4096,-7.981642724530502e-08,7.981642724530502e-08,-1.0642369829838572e-07,74.99873479449991,True,1.9954106811326255e-08,1.9954106811326255e-08
0,6,kl_div,0.25,4096,-5.211075837507906e-08,5.211075837507906e-08,-6.965199084163487e-08,74.81589218829558,True,1.3027689593769765e-08,1.3027689593769765e-08
0,7,kl_div,0.25,4096,-2.807015277994651e-07,2.807015277994651e-07,-3.74723015283962e-07,74.90907052686684,True,7.017538194986628e-08,7.017538194986628e-08
0,8,kl_div,0.25,4096,-1.597863530378163e-07,1.597863530378163e-07,-2.1294746233024853e-07,75.03557510819849,True,3.9946588259454074e-08,3.9946588259454074e-08
0,9,kl_div,0.25,4096,-1.4309922580224566e-08,1.4309922580224566e-08,-1.908275404360893e-08,74.98877021378972,True,3.5774806450561414e-09,3.5774806450561414e-09
