layer,expert,beta_global,signed_residual,absolute_residual,signed_residual_over_abs_g0_pct,ratio_deviation_percentage_points
0,78,0.75,2.121414155453749e-10,2.121414155453749e-10,0.1387814093967094,-0.13878140939671013
0,79,0.75,-2.1643131731252652e-11,2.1643131731252652e-11,-0.00671410655388496,0.006714106553886268
0,80,0.75,3.9241498939190933e-10,3.9241498939190933e-10,0.2339020223382096,-0.23390202233821
0,81,0.75,1.2280949590603996e-09,1.2280949590603996e-09,0.27996032587414976,-0.2799603258741499
0,82,0.75,2.857518666132819e-10,2.857518666132819e-10,0.038246095096134684,-0.038246095096134525
0,83,0.75,8.268052908988466e-10,8.268052908988466e-10,0.33249787749985255,-0.33249787749985416
0,84,0.75,4.54318183074065e-09,4.54318183074065e-09,0.593586242883419,-0.5935862428834184
0,85,0.75,9.942269230123202e-12,9.942269230123202e-12,0.004973087926327003,-0.004973087926327224
0,86,0.75,5.0532023010418925e-11,5.0532023010418925e-11,0.030223155618302633,-0.03022315561830169
0,87,0.75,3.136335635645082e-10,3.136335635645082e-10,0.086188945851785,-0.08618894585178438
0,88,0.75,1.0123457627742027e-11,1.0123457627742027e-11,0.013976972894237456,-0.013976972894237605
0,89,0.75,-9.539036227579345e-13,9.539036227579345e-13,-0.0005706353230533397,0.0005706353230543471
0,90,0.75,1.5062173730484574e-10,1.5062173730484574e-10,0.2509753385447684,-0.2509753385447695
0,91,0.75,2.0402879385983397e-10,2.0402879385983397e-10,0.06000622412153872,-0.06000622412154044
0,92,0.75,-1.0222933610748441e-12,1.0222933610748441e-12,-0.0010935296373893726,0.0010935296373908443
0,93,0.75,1.8454215933161322e-10,1.8454215933161322e-10,0.07096731355710134,-0.07096731355710162
0,94,0.75,-1.3179679569930158e-11,1.3179679569930158e-11,-0.016087612362849283,0.016087612362849057
0,95,0.75,3.2874147848360735e-11,3.2874147848360735e-11,0.02547838274215381,-0.025478382742154082
0,96,0.75,-7.94022625427715e-11,7.94022625427715e-11,-0.06024736524002994,0.060247365240030604
0,97,0.75,2.1960921969821356e-10,2.1960921969821356e-10,0.14399152727107212,-0.14399152727107278
0,98,0.75,4.849788126648491e-09,4.849788126648491e-09,0.8373388702913636,-0.8373388702913651
0,99,0.75,-4.431299771567865e-11,4.431299771567865e-11,-0.025935529675336157,0.025935529675336966
